"","known_age","error_age"
"1",0,0
"2",0,0
"3",0,0
"4",0,0
"5",0,1
"6",0,0
"7",0,0
"8",0,0
"9",0,1
"10",0,0
"11",0,0
"12",0,1
"13",0,1
"14",0,0
"15",0,0
"16",0,0
"17",0,0
"18",0,0
"19",0,1
"20",0,0
"21",0,0
"22",0,0
"23",0,0
"24",0,0
"25",0,0
"26",0,0
"27",0,0
"28",0,0
"29",0,0
"30",0,0
"31",0,0
"32",0,0
"33",0,1
"34",0,0
"35",0,0
"36",0,0
"37",0,0
"38",0,0
"39",0,0
"40",0,0
"41",0,0
"42",0,0
"43",0,1
"44",0,0
"45",0,0
"46",0,1
"47",0,0
"48",0,0
"49",0,0
"50",0,0
"51",0,0
"52",0,0
"53",0,0
"54",0,1
"55",0,0
"56",0,0
"57",0,0
"58",0,0
"59",0,0
"60",0,0
"61",0,0
"62",0,0
"63",0,0
"64",0,0
"65",0,0
"66",0,0
"67",0,0
"68",0,0
"69",0,0
"70",0,0
"71",0,0
"72",0,0
"73",0,0
"74",0,0
"75",0,0
"76",0,1
"77",0,0
"78",0,0
"79",0,0
"80",0,0
"81",0,0
"82",0,0
"83",0,1
"84",0,0
"85",0,0
"86",0,0
"87",0,1
"88",0,0
"89",0,0
"90",0,1
"91",0,0
"92",0,1
"93",0,0
"94",0,1
"95",0,0
"96",0,0
"97",0,0
"98",0,0
"99",0,1
"100",0,0
"101",1,1
"102",1,1
"103",1,1
"104",1,1
"105",1,1
"106",1,1
"107",1,1
"108",1,1
"109",1,1
"110",1,1
"111",1,1
"112",1,1
"113",1,1
"114",1,1
"115",1,1
"116",1,1
"117",1,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",1,1
"126",1,1
"127",1,1
"128",1,1
"129",1,1
"130",1,2
"131",1,1
"132",1,1
"133",1,1
"134",1,1
"135",1,1
"136",1,2
"137",1,1
"138",1,1
"139",1,1
"140",1,1
"141",1,1
"142",1,1
"143",1,1
"144",1,1
"145",1,1
"146",1,1
"147",1,1
"148",1,1
"149",1,1
"150",1,1
"151",1,1
"152",1,1
"153",1,2
"154",1,1
"155",1,1
"156",1,1
"157",1,1
"158",1,1
"159",1,1
"160",1,1
"161",1,1
"162",1,1
"163",1,1
"164",1,1
"165",1,1
"166",1,1
"167",1,1
"168",1,1
"169",1,1
"170",1,1
"171",1,1
"172",1,1
"173",1,1
"174",1,1
"175",1,1
"176",1,1
"177",1,2
"178",1,1
"179",1,1
"180",1,1
"181",1,1
"182",1,1
"183",1,1
"184",1,2
"185",1,1
"186",1,1
"187",1,1
"188",1,1
"189",1,1
"190",1,0
"191",1,1
"192",1,1
"193",1,1
"194",1,1
"195",1,1
"196",1,1
"197",1,1
"198",1,1
"199",1,1
"200",1,1
"201",2,2
"202",2,3
"203",2,2
"204",2,2
"205",2,2
"206",2,2
"207",2,2
"208",2,2
"209",2,2
"210",2,3
"211",2,2
