,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,0.862972,0.137028,2.94E-07,0,0,0,0,0,0,0,0,0,0,0,0
Age 1 ,0.00912151,0.939658,0.0512206,1.90E-08,0,0,0,0,0,0,0,0,0,0,0
Age 2,1.17E-05,0.0773269,0.847745,0.0749051,1.09E-05,2.89E-12,0,0,0,0,0,0,0,0,0
Age 3,2.36E-10,8.42E-05,0.120719,0.807101,0.0720691,2.65E-05,4.31E-11,0,0,0,0,0,0,0,0
Age 4,2.37E-17,4.16E-10,0.000108714,0.127735,0.800367,0.0717588,3.00E-05,6.22E-11,0,0,0,0,0,0,0
Age 5,3.99E-26,1.01E-17,2.14E-10,7.13E-05,0.107401,0.806429,0.0860553,4.34E-05,1.03E-10,0,0,0,0,0,0
Age 6,2.58E-35,1.29E-26,3.14E-18,7.39E-11,3.21E-05,0.0724736,0.798255,0.129122,0.000116659,4.94E-10,0,0,0,0,0
Age 7,1.37E-43,2.40E-35,7.48E-27,1.22E-18,2.34E-11,1.12E-05,0.0382518,0.736212,0.224958,0.000567599,7.80E-09,1.55E-15,0,0,0
Age 8,2.60E-50,6.43E-43,5.64E-35,8.08E-27,6.35E-19,7.31E-12,3.09E-06,0.0152914,0.586412,0.394506,0.00378801,2.78E-07,2.92E-13,0,0
Age 9,1.75E-55,4.94E-49,6.24E-42,2.29E-34,1.23E-26,3.75E-19,2.12E-12,6.81E-07,0.00449997,0.367737,0.603268,0.0244814,1.27E-05,1.08E-10,0
Age 10,2.09E-59,7.77E-54,1.27E-47,7.40E-41,1.03E-33,1.87E-26,2.03E-19,5.19E-13,1.16E-07,0.000952459,0.165673,0.716716,0.116214,0.000444063,3.72E-08
Age 11,1.97E-62,1.27E-57,3.17E-52,2.79E-46,7.01E-40,3.55E-33,2.19E-26,8.54E-20,9.84E-14,1.49E-08,0.000142075,0.0498579,0.595359,0.346053,0.00858768
Age 12,7.70E-65,1.13E-60,5.45E-56,8.41E-51,3.76E-45,4.03E-39,7.62E-33,1.67E-26,2.48E-20,1.35E-14,1.40E-09,1.46E-05,0.00954262,0.310841,0.679602
Age 13,7.82E-67,3.30E-63,3.90E-59,1.30E-54,1.17E-49,2.62E-44,1.21E-38,9.00E-33,7.56E-27,4.67E-21,1.28E-15,9.21E-11,1.02E-06,0.00112636,0.998873
Age 14,1.51E-68,2.22E-65,7.90E-62,6.96E-58,1.51E-53,7.80E-49,8.69E-44,1.80E-38,5.62E-33,1.98E-27,5.53E-22,8.21E-17,4.19E-12,4.74E-08,1
