,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,0.998497,0.00150321,1.11E-16,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,0.00387335,0.995218,0.000908426,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,3.83E-08,0.04823,0.936756,0.0150137,2.51E-09,0,0,0,0,0,0,0,0,0,0
Age 3,3.29E-12,1.86E-05,0.11346,0.847309,0.0392108,1.65E-06,9.85E-14,0,0,0,0,0,0,0,0
Age 4,9.45E-16,4.30E-09,0.000334894,0.171905,0.765969,0.0617564,3.47E-05,1.50E-10,0,0,0,0,0,0,0
Age 5,4.61E-19,1.21E-12,2.50E-07,0.00168068,0.218671,0.700193,0.0792658,0.000188746,9.54E-09,1.98E-14,0,0,0,0,0
Age 6,2.77E-22,4.04E-16,1.17E-10,3.21E-06,0.00461463,0.254968,0.648063,0.0918164,0.000534041,1.27E-07,1.88E-12,0,0,0,0
Age 7,1.76E-25,1.46E-19,4.36E-14,2.61E-09,1.80E-05,0.00914916,0.283035,0.606448,0.100292,0.00105609,7.04E-07,4.05E-11,3.33E-16,0,0
Age 8,1.11E-28,5.36E-23,1.42E-17,1.28E-12,2.42E-08,6.14E-05,0.0149554,0.304974,0.572706,0.105617,0.00168314,2.32E-06,3.51E-10,8.66E-15,0
Age 9,6.86E-32,1.95E-26,4.17E-21,4.49E-16,1.61E-11,1.27E-07,0.000153344,0.0216272,0.322465,0.544852,0.108563,0.00233366,5.45E-06,1.68E-09,9.39E-14
Age 10,4.18E-35,7.10E-30,1.13E-24,1.24E-19,6.51E-15,1.13E-10,4.55E-07,0.000310212,0.0288154,0.33676,0.521433,0.109729,0.00294272,1.02E-05,5.35E-09
Age 11,2.60E-38,2.62E-33,2.97E-28,2.92E-23,1.84E-18,5.40E-14,5.27E-10,1.24E-06,0.000542072,0.0362654,0.34876,0.501384,0.109562,0.00346882,1.62E-05
Age 12,1.71E-41,1.02E-36,7.79E-32,6.24E-27,4.07E-22,1.63E-17,2.97E-13,1.82E-09,2.80E-06,0.000852534,0.0438104,0.359105,0.483917,0.108399,0.00391401
Age 13,1.24E-44,4.31E-40,2.15E-35,1.30E-30,7.71E-26,3.56E-21,9.78E-17,1.20E-12,5.02E-09,5.45E-06,0.00124047,0.0513511,0.368243,0.468439,0.11072
Age 14,1.04E-47,2.10E-43,6.56E-39,2.79E-34,1.36E-29,6.29E-25,2.17E-20,4.33E-16,3.85E-12,1.17E-08,9.51E-06,0.00170202,0.0588359,0.376488,0.562964
