,Age 0,Age 1,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Age 11,Age 12,Age 13,Age 14
Age 0,1,9.58E-08,0,0,0,0,0,0,0,0,0,0,0,0,0
Age 1,9.58E-08,1,9.58E-08,0,0,0,0,0,0,0,0,0,0,0,0
Age 2,1.55E-14,0.00402996,0.99194,0.00402996,1.55E-14,0,0,0,0,0,0,0,0,0,0
Age 3,3.68E-17,9.58E-08,0.0381845,0.923631,0.0381845,9.58E-08,0,0,0,0,0,0,0,0,0
Age 4,1.60E-18,6.54E-11,3.98E-05,0.0916139,0.816693,0.0916139,3.98E-05,6.54E-11,0,0,0,0,0,0,0
Age 5,2.35E-19,4.89E-13,9.58E-08,0.000758825,0.142661,0.71316,0.142661,0.000758825,9.58E-08,4.89E-13,0,0,0,0,0
Age 6,6.47E-20,1.55E-14,8.44E-10,6.20E-06,0.00402376,0.183288,0.625364,0.183288,0.00402376,6.20E-06,8.44E-10,1.55E-14,0,0,0
Age 7,2.56E-20,1.21E-15,2.11E-11,9.58E-08,8.42E-05,0.011381,0.211826,0.553417,0.211826,0.011381,8.42E-05,9.58E-08,2.11E-11,1.22E-15,0
Age 8,1.27E-20,1.72E-16,1.13E-12,2.89E-09,2.31E-06,0.00047937,0.0226882,0.229517,0.494626,0.229517,0.0226882,0.00047937,2.31E-06,2.89E-09,1.13E-12
Age 9,7.39E-21,3.68E-17,1.07E-13,1.55E-10,9.56E-08,2.17E-05,0.00161985,0.0365429,0.238708,0.446215,0.238708,0.0365429,0.00161985,2.17E-05,9.58E-08
Age 10,4.78E-21,1.06E-17,1.55E-14,1.33E-11,5.96E-09,1.25E-06,0.000111517,0.00391719,0.0512444,0.241771,0.405909,0.241771,0.0512444,0.00391719,0.000112773
Age 11,3.34E-21,3.78E-18,3.08E-15,1.65E-12,5.33E-10,9.52E-08,8.71E-06,0.000381048,0.00756148,0.0654107,0.240657,0.371962,0.240657,0.0654107,0.00795133
Age 12,2.48E-21,1.59E-18,7.86E-16,2.77E-13,6.51E-11,9.54E-09,8.20E-07,3.90E-05,0.000979323,0.0124665,0.078168,0.236821,0.343051,0.236821,0.0916537
Age 13,1.92E-21,7.64E-19,2.44E-16,5.92E-14,1.03E-11,1.23E-09,9.45E-08,4.50E-06,0.000127075,0.00204961,0.018344,0.0890947,0.231292,0.318176,0.340912
Age 14,1.55E-21,4.06E-19,8.86E-17,1.54E-14,2.04E-12,1.97E-10,1.33E-08,6.01E-07,1.77E-05,0.000326691,0.00368497,0.0248181,0.0980878,0.224777,0.648287
