Pred_age1,Pred_age2
8.7997,9.8929
6.1448,7.0999
7.3172,8.2219
5.066,5.864
5.6011,6.3959
3.1806,3.9437
4.0875,4.8103
6.8685,7.5397
9.0561,9.6809
2.4351,3.0551
4.1345,4.7377
3.8051,4.2823
2.4557,2.9219
4.0096,4.4753
3.1514,3.612
4.7215,5.1792
5.8989,6.3503
7.1276,7.5725
4.1297,4.5626
5.9714,6.404
2.5511,2.9836
5.4286,5.8481
2.5644,2.9732
3.5614,3.9533
5.4016,5.7857
5.6799,6.0614
8.7076,9.0789
4.3764,4.742
8.4816,8.8371
4.8133,5.1658
3.9557,4.3026
5.2414,5.5875
2.8301,3.171
4.1823,4.5166
4.5939,4.9234
2.3502,2.6776
4.3004,4.6258
2.9534,3.2707
3.4249,3.7276
3.8551,4.1575
2.3048,2.6018
4.6189,4.9159
2.6403,2.9319
5.8511,6.1408
6.7866,7.0682
7.3197,7.6012
6.3946,6.6759
4.3798,4.6607
4.1023,4.382
3.4719,3.7512
7.0262,7.301
6.7215,6.995
2.637,2.9072
9.634,9.9005
1.9159,2.1819
3.4259,3.6914
6.0613,6.3238
4.9032,5.1632
2.7362,2.9907
5.3037,5.5546
6.8319,7.0777
2.3712,2.6144
5.492,5.734
3.2866,3.5258
4.4527,4.6918
6.3807,6.6156
6.5673,6.8003
6.0076,6.24
2.9238,3.155
6.3325,6.5584
7.3883,7.6128
4.102,4.3263
2.5923,2.8152
7.1347,7.3574
2.3186,2.5413
6.2109,6.4329
7.7583,7.9786
8.373,8.5842
6.9066,7.117
2.6072,2.8166
4.909,5.1101
4.2035,4.4013
3.673,3.866
2.7138,2.9066
6.3856,6.577
9.2556,9.4425
2.2125,2.3986
2.7099,2.894
2.4623,2.6447
4.1402,4.3196
4.7814,4.9507
6.5038,6.6727
5.8744,6.0415
4.3866,4.553
5.0222,5.185
4.1953,4.3505
4.5485,4.7024
5.2552,5.404
6.8767,7.0155
3.6352,3.7709
6.7925,6.9268
1.7624,1.8964
4.6719,4.8052
2.1029,2.2352
4.7599,4.8913
6.4915,6.618
5.3317,5.4501
1.7682,1.8809
5.7295,5.8277
7.4641,7.5618
2.0885,2.1838
6.4273,6.5194
7.5836,7.6701
6.4324,6.5181
6.4383,6.5234
6.2294,6.3116
5.7956,5.8743
5.3703,5.446
6.2289,6.304
2.4985,2.5708
4.3649,4.4361
1.9137,1.9837
6.0529,6.1224
2.074,2.1375
3.774,3.8368
1.4949,1.5532
5.3816,5.4391
6.5909,6.6481
6.4597,6.5127
4.2499,4.3018
1.2295,1.2801
3.6419,3.691
4.8942,4.9424
2.8138,2.8611
5.6355,5.6815
3.5606,3.6055
2.4182,2.4628
1.8532,1.894
5.1315,5.1673
1.8997,1.935
6.5621,6.5966
6.7371,6.7715
5.5714,5.603
1.636,1.6651
2.2401,2.259
1.903,1.9177
2.9227,2.9356
2.6407,2.6521
6.1554,6.164
5.7966,5.8014
1.0905,1.0948
4.5078,4.5112
4.1341,4.1361
6.2332,6.2332
2.3548,2.3466
3.2792,3.2705
1.0945,1.0839
5.3088,5.2967
5.9604,5.9481
1.1063,1.0927
1.6271,1.6128
5.5236,5.5084
3.8875,3.8721
1.7392,1.7212
6.384,6.3659
2.6231,2.6023
1.1628,1.1398
1.5521,1.527
1.102,1.0765
7.387,7.3613
1.0481,1.0224
0.8773,0.8496
4.6505,4.6219
3.1932,3.1626
2.5846,2.5512
1.449,1.411
4.9978,4.9593
6.6474,6.6069
5.8404,5.7972
9.1208,9.0756
3.7934,3.7453
2.2588,2.2098
3.8031,3.7535
4.0906,4.0401
1.1989,1.1459
0.9318,0.8768
1.0062,0.9464
3.7107,3.6509
1.6902,1.6283
3.2765,3.2142
4.1165,4.0524
5.2273,5.1627
1.0256,0.9593
0.9546,0.8882
4.4685,4.401
2.8873,2.8186
8.081,8.0096
0.759,0.6874
1.1067,1.0334
7.2541,7.1807
1.6185,1.542
6.5994,6.5223
6.6384,6.5579
3.6198,3.5357
5.8156,5.7298
1.0428,0.9564
6.5446,6.4566
6.2356,6.147
4.2158,4.125
3.0536,2.9627
1.1176,1.0262
4.4635,4.3683
5.9562,5.8604
0.9166,0.819
4.9941,4.8941
6.099,5.9986
3.7572,3.6547
1.196,1.0895
0.997,0.8899
2.6544,2.547
4.5623,4.4547
6.0321,5.9235
6.0618,5.9502
3.6479,3.5353
3.4909,3.3779
3.3254,3.2117
6.9327,6.8173
1.1004,0.985
6.1655,6.05
4.2876,4.1711
4.5296,4.413
1.1078,0.9901
1.1395,1.0211
0.7548,0.6337
1.9777,1.8551
3.7447,3.6213
5.0943,4.97
7.1113,6.9863
5.3481,5.2193
4.0601,3.9306
0.8485,0.7185
4.5829,4.447
7.4662,7.3296
5.8406,5.7013
0.853,0.7129
4.9762,4.8361
0.9303,0.7886
3.9226,3.7808
0.874,0.7319
0.7562,0.6138
0.9515,0.8023
6.2537,6.1043
1.1393,0.987
4.0745,3.9219
0.7908,0.6382
4.8955,4.7427
1.0399,0.8867
1.1084,0.9541
1.0819,0.9267
0.7646,0.6087
4.2262,4.0686
6.8727,6.7141
3.474,3.3134
4.2793,4.111
5.4653,5.2929
3.577,3.4045
1.0784,0.9042
7.3452,7.1699
3.8987,3.7216
0.996,0.8179
5.1291,4.9498
0.8359,0.6542
6.2317,6.0476
5.0946,4.9091
6.8689,6.6829
2.7316,2.5435
6.2164,6.0237
1.3406,1.1474
3.0181,2.8248
4.7017,4.5059
0.7487,0.5519
7.0455,6.8449
4.6881,4.4794
2.6199,2.41
4.2781,4.0673
4.077,3.865
5.8982,5.6856
0.7372,0.5243
5.689,5.4756
6.3766,6.163
4.227,4.0131
0.8309,0.616
3.476,3.259
3.9495,3.7265
2.122,1.8954
1.5321,1.3042
4.7831,4.5517
3.419,3.1823
0.7635,0.5249
7.1115,6.8684
5.3768,5.1317
0.7099,0.4621
0.7373,0.4882
4.4206,4.1672
5.2894,5.0304
0.6195,0.3589
1.1401,0.8776
5.8009,5.5337
0.6939,0.4251
1.2289,0.95
4.0656,3.784
5.9336,5.6426
5.7727,5.4754
6.3036,6.0053
